store,type,department,date,weekly_sales,is_holiday,temperature,fuel_price,unemployment
1,A,1,02/05/2010,24924.5,FALSE,5.727.777.778,679.450.839,8.106
1,A,1,03/05/2010,21827.9,FALSE,8.055.555.556,693.451.964,8.106
1,A,1,04/02/2010,57258.43,FALSE,1.681.666.667,718.284.149,7.808
1,A,1,05/07/2010,17413.94,FALSE,2.252.777.778,748.928.121,7.808
1,A,1,06/04/2010,17558.09,FALSE,27.05,714.585.738,7.808
1,A,1,07/02/2010,16333.14,FALSE,2.717.222.222,70.507.554,7.787
1,A,1,08/06/2010,17508.41,FALSE,3.064.444.444,693.980.309,7.787
1,D,1,09/03/2010,16241.78,FALSE,2.733.888.889,6.807.717,7.787
1,A,1,10/01/2010,20094.19,FALSE,2.216.111.111,687.640.176,7.838
1,A,1,11/05/2010,34238.88,FALSE,1.485.555.556,710.358.984,7.838
1,A,1,12/03/2010,22517.56,FALSE,9.594.444.444,715.378.255,7.838
1,D,1,01/07/2011,15984.24,FALSE,9.038.888.889,786.176.398,7.742
1,A,2,02/05/2010,50605.27,FALSE,5.727.777.778,679.450.839,8.106
1,C,2,03/05/2010,48397.98,FALSE,8.055.555.556,693.451.964,8.106
1,A,2,04/02/2010,47450.5,FALSE,1.681.666.667,718.284.149,7.808
1,A,2,05/07/2010,47903.01,FALSE,2.252.777.778,748.928.121,7.808
1,D,2,06/04/2010,48754.47,FALSE,27.05,714.585.738,7.808
1,A,2,07/02/2010,47077.72,FALSE,2.717.222.222,70.507.554,7.787
1,A,2,08/06/2010,50031.73,FALSE,3.064.444.444,693.980.309,7.787
1,A,2,09/03/2010,49015.05,FALSE,2.733.888.889,6.807.717,7.787
1,A,2,10/01/2010,45829.02,FALSE,2.216.111.111,687.640.176,7.838
1,A,2,11/05/2010,46381.43,FALSE,1.485.555.556,710.358.984,7.838
1,A,2,12/03/2010,44405.02,FALSE,9.594.444.444,715.378.255,7.838
1,C,2,01/07/2011,43202.29,FALSE,9.038.888.889,786.176.398,7.742
1,D,3,02/05/2010,13740.12,FALSE,5.727.777.778,679.450.839,8.106
1,A,3,03/05/2010,12275.58,FALSE,8.055.555.556,693.451.964,8.106
1,A,3,04/02/2010,11157.08,FALSE,1.681.666.667,718.284.149,7.808
1,A,3,05/07/2010,9372.8,FALSE,2.252.777.778,748.928.121,7.808
1,A,3,06/04/2010,8001.41,FALSE,27.05,714.585.738,7.808
1,D,3,07/02/2010,7857.88,FALSE,2.717.222.222,70.507.554,7.787
1,A,3,08/06/2010,26719.02,FALSE,3.064.444.444,693.980.309,7.787
1,A,3,09/03/2010,19081.8,FALSE,2.733.888.889,6.807.717,7.787
1,D,3,10/01/2010,9775.17,FALSE,2.216.111.111,687.640.176,7.838
1,A,3,11/05/2010,9825.22,FALSE,1.485.555.556,710.358.984,7.838
1,A,3,12/03/2010,10856.85,FALSE,9.594.444.444,715.378.255,7.838
1,A,3,01/07/2011,15808.15,FALSE,9.038.888.889,786.176.398,7.742
1,A,4,02/05/2010,39954.04,FALSE,5.727.777.778,679.450.839,8.106
1,A,4,03/05/2010,38086.19,FALSE,8.055.555.556,693.451.964,8.106
1,A,4,04/02/2010,37809.49,FALSE,1.681.666.667,718.284.149,7.808
1,D,4,05/07/2010,37168.34,FALSE,2.252.777.778,748.928.121,7.808
1,D,4,06/04/2010,40548.19,FALSE,27.05,714.585.738,7.808
1,A,4,07/02/2010,39773.71,FALSE,2.717.222.222,70.507.554,7.787
1,A,4,08/06/2010,40973.88,FALSE,3.064.444.444,693.980.309,7.787
1,A,4,09/03/2010,38321.88,FALSE,2.733.888.889,6.807.717,7.787
1,D,4,10/01/2010,34912.45,FALSE,2.216.111.111,687.640.176,7.838
1,A,4,11/05/2010,37980.55,FALSE,1.485.555.556,710.358.984,7.838
1,A,4,12/03/2010,37110.55,FALSE,9.594.444.444,715.378.255,7.838
1,A,4,01/07/2011,37947.8,FALSE,9.038.888.889,786.176.398,7.742
1,A,5,02/05/2010,32229.38,FALSE,5.727.777.778,679.450.839,8.106
1,A,5,03/05/2010,23082.14,FALSE,8.055.555.556,693.451.964,8.106
1,A,5,04/02/2010,29967.92,FALSE,1.681.666.667,718.284.149,7.808
1,A,5,05/07/2010,19260.44,FALSE,2.252.777.778,748.928.121,7.808
1,A,5,06/04/2010,22932.26,FALSE,27.05,714.585.738,7.808
1,A,5,07/02/2010,18887.71,FALSE,2.717.222.222,70.507.554,7.787
1,A,5,08/06/2010,16926.17,FALSE,3.064.444.444,693.980.309,7.787
1,A,5,09/03/2010,15390.52,FALSE,2.733.888.889,6.807.717,7.787
1,A,5,10/01/2010,23381.38,FALSE,2.216.111.111,687.640.176,7.838
1,A,5,11/05/2010,23903.81,FALSE,1.485.555.556,710.358.984,7.838
1,A,5,12/03/2010,36472.02,FALSE,9.594.444.444,715.378.255,7.838
1,A,5,01/07/2011,22699.69,FALSE,9.038.888.889,786.176.398,7.742
1,A,6,02/05/2010,5749.03,FALSE,5.727.777.778,679.450.839,8.106
1,A,6,03/05/2010,4221.25,FALSE,8.055.555.556,693.451.964,8.106
1,A,6,04/02/2010,4132.61,FALSE,1.681.666.667,718.284.149,7.808
1,A,6,05/07/2010,7477.7,FALSE,2.252.777.778,748.928.121,7.808
1,A,6,06/04/2010,5484.9,FALSE,27.05,714.585.738,7.808
1,A,6,07/02/2010,4541.91,FALSE,2.717.222.222,70.507.554,7.787
1,A,6,08/06/2010,4700.38,FALSE,3.064.444.444,693.980.309,7.787
1,A,6,09/03/2010,3553.75,FALSE,2.733.888.889,6.807.717,7.787
1,A,6,10/01/2010,2876.19,FALSE,2.216.111.111,687.640.176,7.838
1,A,6,11/05/2010,5036.99,FALSE,1.485.555.556,710.358.984,7.838
1,A,6,12/03/2010,6356.96,FALSE,9.594.444.444,715.378.255,7.838
1,A,6,01/07/2011,1376.15,FALSE,9.038.888.889,786.176.398,7.742
1,A,7,02/05/2010,21084.08,FALSE,5.727.777.778,679.450.839,8.106
1,A,7,03/05/2010,19659.7,FALSE,8.055.555.556,693.451.964,8.106
1,A,7,04/02/2010,22427.62,FALSE,1.681.666.667,718.284.149,7.808
1,A,7,05/07/2010,20457.62,FALSE,2.252.777.778,748.928.121,7.808
1,A,7,06/04/2010,44563.68,FALSE,27.05,714.585.738,7.808
1,D,7,07/02/2010,22589,FALSE,2.717.222.222,70.507.554,7.787
1,A,7,08/06/2010,21842.57,FALSE,3.064.444.444,693.980.309,7.787
1,A,7,09/03/2010,18005.65,FALSE,2.733.888.889,6.807.717,7.787
1,A,7,10/01/2010,16481.79,FALSE,2.216.111.111,687.640.176,7.838
1,A,7,11/05/2010,19136.58,FALSE,1.485.555.556,710.358.984,7.838
1,D,7,12/03/2010,47406.83,FALSE,9.594.444.444,715.378.255,7.838
1,A,7,01/07/2011,17516.16,FALSE,9.038.888.889,786.176.398,7.742
1,A,8,02/05/2010,40129.01,FALSE,5.727.777.778,679.450.839,8.106
1,D,8,03/05/2010,38776.09,FALSE,8.055.555.556,693.451.964,8.106
1,A,8,04/02/2010,38151.58,FALSE,1.681.666.667,718.284.149,7.808
1,A,8,05/07/2010,35393.78,FALSE,2.252.777.778,748.928.121,7.808
1,A,8,06/04/2010,35181.47,FALSE,27.05,714.585.738,7.808
1,A,8,07/02/2010,35580.01,FALSE,2.717.222.222,70.507.554,7.787
1,A,8,08/06/2010,34833.35,FALSE,3.064.444.444,693.980.309,7.787
1,A,8,09/03/2010,35562.68,FALSE,2.733.888.889,6.807.717,7.787
1,A,8,10/01/2010,34658.25,FALSE,2.216.111.111,687.640.176,7.838
1,A,8,11/05/2010,36182.58,FALSE,1.485.555.556,710.358.984,7.838
1,A,8,12/03/2010,36222.74,FALSE,9.594.444.444,715.378.255,7.838
1,A,8,01/07/2011,36599.46,FALSE,9.038.888.889,786.176.398,7.742
1,A,9,02/05/2010,16930.99,FALSE,5.727.777.778,679.450.839,8.106
1,A,9,03/05/2010,24064.7,FALSE,8.055.555.556,693.451.964,8.106
1,A,9,04/02/2010,25435.02,FALSE,1.681.666.667,718.284.149,7.808
1,A,9,05/07/2010,27588.34,FALSE,2.252.777.778,748.928.121,7.808
1,D,9,06/04/2010,36317.39,FALSE,27.05,714.585.738,7.808
1,A,9,07/02/2010,21032.55,FALSE,2.717.222.222,70.507.554,7.787
1,A,9,08/06/2010,19224.82,FALSE,3.064.444.444,693.980.309,7.787
1,A,9,09/03/2010,39639.39,FALSE,2.733.888.889,6.807.717,7.787
1,A,9,10/01/2010,44977.91,FALSE,2.216.111.111,687.640.176,7.838
1,A,9,11/05/2010,48794.36,FALSE,1.485.555.556,710.358.984,7.838
1,A,9,12/03/2010,21979.41,FALSE,9.594.444.444,715.378.255,7.838
1,A,9,01/07/2011,16131.88,FALSE,9.038.888.889,786.176.398,7.742
1,A,10,02/05/2010,30721.5,FALSE,5.727.777.778,679.450.839,8.106
1,A,10,03/05/2010,33299.27,FALSE,8.055.555.556,693.451.964,8.106
1,A,10,04/02/2010,31794.04,FALSE,1.681.666.667,718.284.149,7.808
1,A,10,05/07/2010,32902.69,FALSE,2.252.777.778,748.928.121,7.808
1,A,10,06/04/2010,34227.73,FALSE,27.05,714.585.738,7.808
1,A,10,07/02/2010,29779.96,FALSE,2.717.222.222,70.507.554,7.787
1,A,10,08/06/2010,35078.09,FALSE,3.064.444.444,693.980.309,7.787
1,A,10,09/03/2010,33457.07,FALSE,2.733.888.889,6.807.717,7.787
1,A,10,10/01/2010,29764.24,FALSE,2.216.111.111,687.640.176,7.838
1,A,10,11/05/2010,31543.83,FALSE,1.485.555.556,710.358.984,7.838
1,A,10,12/03/2010,26558.42,FALSE,9.594.444.444,715.378.255,7.838
1,A,10,01/07/2011,24500.27,FALSE,9.038.888.889,786.176.398,7.742
1,A,11,02/05/2010,24213.18,FALSE,5.727.777.778,679.450.839,8.106
1,A,11,03/05/2010,19082.9,FALSE,8.055.555.556,693.451.964,8.106
1,A,11,04/02/2010,21762.46,FALSE,1.681.666.667,718.284.149,7.808
1,A,11,05/07/2010,28928.31,FALSE,2.252.777.778,748.928.121,7.808
1,A,11,06/04/2010,36263.69,FALSE,27.05,714.585.738,7.808
1,A,11,07/02/2010,26880.74,FALSE,2.717.222.222,70.507.554,7.787
1,A,11,08/06/2010,37289.02,FALSE,3.064.444.444,693.980.309,7.787
1,A,11,09/03/2010,17303.3,FALSE,2.733.888.889,6.807.717,7.787
1,A,11,10/01/2010,16227.08,FALSE,2.216.111.111,687.640.176,7.838
1,A,11,11/05/2010,25063.26,FALSE,1.485.555.556,710.358.984,7.838
1,A,11,12/03/2010,29564.78,FALSE,9.594.444.444,715.378.255,7.838
1,A,11,01/07/2011,22496.85,FALSE,9.038.888.889,786.176.398,7.742
1,A,12,02/05/2010,8449.54,FALSE,5.727.777.778,679.450.839,8.106
1,A,12,03/05/2010,10239.06,FALSE,8.055.555.556,693.451.964,8.106
1,A,12,04/02/2010,12033.5,FALSE,1.681.666.667,718.284.149,7.808
1,D,12,05/07/2010,12761.39,FALSE,2.252.777.778,748.928.121,7.808
1,A,12,06/04/2010,13358.92,FALSE,27.05,714.585.738,7.808
1,D,12,07/02/2010,10720.79,FALSE,2.717.222.222,70.507.554,7.787
1,A,12,08/06/2010,12887.52,FALSE,3.064.444.444,693.980.309,7.787
1,A,12,09/03/2010,11239.43,FALSE,2.733.888.889,6.807.717,7.787
1,A,12,10/01/2010,9759.85,FALSE,2.216.111.111,687.640.176,7.838
1,A,12,11/05/2010,9345.99,FALSE,1.485.555.556,710.358.984,7.838
1,A,12,12/03/2010,7943.22,FALSE,9.594.444.444,715.378.255,7.838
1,A,12,01/07/2011,8022.82,FALSE,9.038.888.889,786.176.398,7.742
1,A,13,02/05/2010,41969.29,FALSE,5.727.777.778,679.450.839,8.106
1,A,13,03/05/2010,40423.95,FALSE,8.055.555.556,693.451.964,8.106
1,A,13,04/02/2010,38104.53,FALSE,1.681.666.667,718.284.149,7.808
1,A,13,05/07/2010,40113.4,FALSE,2.252.777.778,748.928.121,7.808
1,A,13,06/04/2010,41388.81,FALSE,27.05,714.585.738,7.808
1,A,13,07/02/2010,41214.94,FALSE,2.717.222.222,70.507.554,7.787
1,A,13,08/06/2010,42038.03,FALSE,3.064.444.444,693.980.309,7.787
1,A,13,09/03/2010,44863.15,FALSE,2.733.888.889,6.807.717,7.787
1,A,13,10/01/2010,40474.22,FALSE,2.216.111.111,687.640.176,7.838
1,A,13,11/05/2010,41085.66,FALSE,1.485.555.556,710.358.984,7.838
1,A,13,12/03/2010,36170.88,FALSE,9.594.444.444,715.378.255,7.838
1,A,13,01/07/2011,39764.56,FALSE,9.038.888.889,786.176.398,7.742
1,A,14,02/05/2010,19466.91,FALSE,5.727.777.778,679.450.839,8.106
1,A,14,03/05/2010,18268.78,FALSE,8.055.555.556,693.451.964,8.106
1,A,14,04/02/2010,14333.75,FALSE,1.681.666.667,718.284.149,7.808
1,A,14,05/07/2010,14460.84,FALSE,2.252.777.778,748.928.121,7.808
1,A,14,06/04/2010,14491.35,FALSE,27.05,714.585.738,7.808
1,A,14,07/02/2010,13494.79,FALSE,2.717.222.222,70.507.554,7.787
1,A,14,08/06/2010,14404.15,FALSE,3.064.444.444,693.980.309,7.787
1,A,14,09/03/2010,13995.39,FALSE,2.733.888.889,6.807.717,7.787
1,A,14,10/01/2010,12943.86,FALSE,2.216.111.111,687.640.176,7.838
1,A,14,11/05/2010,14092.03,FALSE,1.485.555.556,710.358.984,7.838
1,A,14,12/03/2010,17685.93,FALSE,9.594.444.444,715.378.255,7.838
1,A,14,01/07/2011,17744.78,FALSE,9.038.888.889,786.176.398,7.742
1,A,16,02/05/2010,10217.55,FALSE,5.727.777.778,679.450.839,8.106
1,A,16,03/05/2010,17129.81,FALSE,8.055.555.556,693.451.964,8.106
1,A,16,04/02/2010,46060.69,FALSE,1.681.666.667,718.284.149,7.808
1,A,16,05/07/2010,52933.2,FALSE,2.252.777.778,748.928.121,7.808
1,A,16,06/04/2010,47485.63,FALSE,27.05,714.585.738,7.808
1,D,16,07/02/2010,32420.4,FALSE,2.717.222.222,70.507.554,7.787
1,A,16,08/06/2010,24218.72,FALSE,3.064.444.444,693.980.309,7.787
1,D,16,09/03/2010,22888.26,FALSE,2.733.888.889,6.807.717,7.787
1,A,16,10/01/2010,16248.15,FALSE,2.216.111.111,687.640.176,7.838
1,A,16,11/05/2010,6063.75,FALSE,1.485.555.556,710.358.984,7.838
1,A,16,12/03/2010,4716.26,FALSE,9.594.444.444,715.378.255,7.838
1,A,16,01/07/2011,5324.47,FALSE,9.038.888.889,786.176.398,7.742
1,A,17,02/05/2010,13223.76,FALSE,5.727.777.778,679.450.839,8.106
1,A,17,03/05/2010,12657.65,FALSE,8.055.555.556,693.451.964,8.106
1,A,17,04/02/2010,9572.23,FALSE,1.681.666.667,718.284.149,7.808
1,A,17,05/07/2010,9970,FALSE,2.252.777.778,748.928.121,7.808
1,A,17,06/04/2010,9212.09,FALSE,27.05,714.585.738,7.808
1,A,17,07/02/2010,9242.3,FALSE,2.717.222.222,70.507.554,7.787
1,A,17,08/06/2010,9851.77,FALSE,3.064.444.444,693.980.309,7.787
1,A,17,09/03/2010,10118.25,FALSE,2.733.888.889,6.807.717,7.787
1,A,17,10/01/2010,8648.02,FALSE,2.216.111.111,687.640.176,7.838
1,A,17,11/05/2010,9250.94,FALSE,1.485.555.556,710.358.984,7.838
1,A,17,12/03/2010,11045.34,FALSE,9.594.444.444,715.378.255,7.838
1,A,17,01/07/2011,8582.2,FALSE,9.038.888.889,786.176.398,7.742
1,A,18,02/05/2010,4729.5,FALSE,5.727.777.778,679.450.839,8.106
1,A,18,03/05/2010,634.61,FALSE,8.055.555.556,693.451.964,8.106
1,A,18,04/02/2010,17916.41,FALSE,1.681.666.667,718.284.149,7.808
1,A,18,5/14/2010,0.5,FALSE,2.376.666.667,753.947.393,7.808
1,A,18,06/04/2010,4.1,FALSE,27.05,714.585.738,7.808
1,A,18,8/20/2010,1,FALSE,3.036.111.111,703.754.679,7.787
1,A,18,09/03/2010,132,FALSE,2.733.888.889,6.807.717,7.787
1,A,18,10/01/2010,3389.42,FALSE,2.216.111.111,687.640.176,7.838
1,A,18,11/05/2010,12033.61,FALSE,1.485.555.556,710.358.984,7.838
1,A,18,12/03/2010,53845.12,FALSE,9.594.444.444,715.378.255,7.838
1,A,18,01/07/2011,5180.76,FALSE,9.038.888.889,786.176.398,7.742
1,A,18,07/01/2011,0.5,FALSE,29.75,930.942.751,7.962
1,A,19,02/05/2010,1947.05,FALSE,5.727.777.778,679.450.839,8.106
1,A,19,03/05/2010,1556.65,FALSE,8.055.555.556,693.451.964,8.106
1,A,19,04/02/2010,1514.32,FALSE,1.681.666.667,718.284.149,7.808
1,A,19,05/07/2010,1616.77,FALSE,2.252.777.778,748.928.121,7.808
1,A,19,06/04/2010,1106.84,FALSE,27.05,714.585.738,7.808
1,A,19,07/02/2010,1537.76,FALSE,2.717.222.222,70.507.554,7.787
1,A,19,08/06/2010,2169.9,FALSE,3.064.444.444,693.980.309,7.787
1,A,19,09/03/2010,1460.74,FALSE,2.733.888.889,6.807.717,7.787
1,A,19,10/01/2010,1583.2,FALSE,2.216.111.111,687.640.176,7.838
1,A,19,11/05/2010,1344.66,FALSE,1.485.555.556,710.358.984,7.838
1,A,19,12/03/2010,1616.77,FALSE,9.594.444.444,715.378.255,7.838
1,A,19,01/07/2011,955.71,FALSE,9.038.888.889,786.176.398,7.742
1,A,20,02/05/2010,5034.1,FALSE,5.727.777.778,679.450.839,8.106
1,A,20,03/05/2010,4215.67,FALSE,8.055.555.556,693.451.964,8.106
1,A,20,04/02/2010,3468.69,FALSE,1.681.666.667,718.284.149,7.808
1,A,20,05/07/2010,4249.64,FALSE,2.252.777.778,748.928.121,7.808
1,A,20,06/04/2010,7150.79,FALSE,27.05,714.585.738,7.808
1,A,20,07/02/2010,5958.02,FALSE,2.717.222.222,70.507.554,7.787
1,A,20,08/06/2010,4764.92,FALSE,3.064.444.444,693.980.309,7.787
1,A,20,09/03/2010,3985.35,FALSE,2.733.888.889,6.807.717,7.787
1,A,20,10/01/2010,3859.87,FALSE,2.216.111.111,687.640.176,7.838
1,A,20,11/05/2010,2961.74,FALSE,1.485.555.556,710.358.984,7.838
1,A,20,12/03/2010,2656.78,FALSE,9.594.444.444,715.378.255,7.838
1,A,20,01/07/2011,3218.91,FALSE,9.038.888.889,786.176.398,7.742
1,A,21,02/05/2010,8907.63,FALSE,5.727.777.778,679.450.839,8.106
1,A,21,03/05/2010,8275.44,FALSE,8.055.555.556,693.451.964,8.106
